Usuario;Aciertos;Municion;Puntuacion;Tiempo;Demora;Fecha;Hora;Distancia
;10;15;33%;1;01:01;24/01/2022;19:43;10
;15;15;50%;1;00:24;24/01/2022;19:43;10
;14;15;46%;1;00:23;24/01/2022;19:41;10
;3;15;10%;2;02:01;24/01/2022;19:37;30
;0;15;0%;1;01:01;24/01/2022;19:34;10
;0;16;0%;1;00:02;24/01/2022;19:33;30
;10;15;33%;4;00:09;24/01/2022;19:27;30
;14;17;46%;10,72426;;24/01/2022;19:21;30
;17;18;56%;0,0013419;;24/01/2022;19:15;30
;15;15;50%;1;;24/01/2022;19:14;30
;16;16;53%;14;;24/01/2022;19:08;30
;10;16;33%;-0,1538696;;24/01/2022;19:07;10
;9;15;30%;01:50;;24/01/2022;18:56;30
;10;16;33%;1seg;;24/01/2022;18:31;10
